"","ori","agency_name","agency_type_name","state_name","state_abbr","division_name","region_name","region_desc","county_name","nibrs","latitude","longitude","nibrs_start_date"
"3272","GA1410300","West Point Police Department","City","Georgia","GA","South Atlantic","South","Region III","HARRIS; TROUP","FALSE","33.034482","-85.02836","NULL"
"3273","GA1410400","Troup County Marshal","Other","Georgia","GA","South Atlantic","South","Region III","TROUP","FALSE","33.039577","-85.03109","NULL"
"3274","GA1420000","Turner County Sheriff's Office","County","Georgia","GA","South Atlantic","South","Region III","TURNER","FALSE","31.6853","-83.6399","NULL"
"3275","GA1420100","Ashburn Police Department","City","Georgia","GA","South Atlantic","South","Region III","TURNER","FALSE","31.718232","-83.628566","NULL"
"3276","GA1420200","Sycamore Police Department","City","Georgia","GA","South Atlantic","South","Region III","TURNER","FALSE","31.673336","-83.6369","NULL"
"3277","GA1420300","Turner County Schools","Other","Georgia","GA","South Atlantic","South","Region III","TURNER","FALSE","NULL","NULL","NULL"
"3278","GA1430000","Twiggs County Sheriff's Office","County","Georgia","GA","South Atlantic","South","Region III","TWIGGS","FALSE","32.665847","-83.425879","NULL"
"3279","GA1430100","Jeffersonville Police Department","City","Georgia","GA","South Atlantic","South","Region III","TWIGGS","FALSE","32.68487","-83.34534","NULL"
"3280","GA1430400","Twiggs County Board of Education","Other","Georgia","GA","South Atlantic","South","Region III","TWIGGS","FALSE","32.68013","-83.333824","NULL"
"3281","GA1440000","Union County Sheriff's Office","County","Georgia","GA","South Atlantic","South","Region III","UNION","FALSE","34.83377","-83.989573","NULL"
"3282","GA1440100","Blairsville Police Department","City","Georgia","GA","South Atlantic","South","Region III","UNION","FALSE","34.83377","-83.989573","NULL"
"3283","GA1450000","Upson County Sheriff's Office","County","Georgia","GA","South Atlantic","South","Region III","UPSON","FALSE","32.937847","-84.33762","NULL"
"3284","GA1450100","Thomaston Police Department","City","Georgia","GA","South Atlantic","South","Region III","UPSON","FALSE","32.881837","-84.292281","NULL"
"3285","GA1460000","Walker County Sheriff's Office","County","Georgia","GA","South Atlantic","South","Region III","WALKER","FALSE","34.735827","-85.305385","NULL"
"3286","GA1460100","Lafayette Police Department","City","Georgia","GA","South Atlantic","South","Region III","WALKER","FALSE","34.735827","-85.305385","NULL"
"3287","GA1460200","Rossville Police Department","City","Georgia","GA","South Atlantic","South","Region III","WALKER","FALSE","34.735827","-85.305385","NULL"
"3288","GA1460300","Lookout Mountain Police Department","City","Georgia","GA","South Atlantic","South","Region III","WALKER","FALSE","34.978447","-85.35674","NULL"
"3289","GA1460400","Chickamauga Police Department","City","Georgia","GA","South Atlantic","South","Region III","WALKER","FALSE","34.735827","-85.305385","NULL"
"3290","GA1470000","Walton County Sheriff's Office","County","Georgia","GA","South Atlantic","South","Region III","WALTON","FALSE","33.77116","-83.700356","NULL"
